name,url,description,test_type,adaptive_support,remote_support,duration,full_text,keywords
Java Programming,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,"Advanced Java programming assessment covering OOP, data structures, and algorithms",Knowledge & Skills (K),Yes,Yes,60,"Java Programming. Advanced Java programming assessment covering OOP, data structures, and algorithms. Test type: Knowledge & Skills (K). Duration: 60 minutes.","java programming. advanced java programming assessment covering oop, data structures, and algorithms. test type: knowledge & skills (k). duration: 60 minutes."
Python Programming,https://www.shl.com/solutions/products/product-catalog/view/python-new/,"Comprehensive Python assessment including libraries, frameworks, and best practices",Knowledge & Skills (K),Yes,Yes,45,"Python Programming. Comprehensive Python assessment including libraries, frameworks, and best practices. Test type: Knowledge & Skills (K). Duration: 45 minutes.","python programming. comprehensive python assessment including libraries, frameworks, and best practices. test type: knowledge & skills (k). duration: 45 minutes."
JavaScript Development,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,"Modern JavaScript including ES6+, async programming, and frameworks",Knowledge & Skills (K),Yes,Yes,50,"JavaScript Development. Modern JavaScript including ES6+, async programming, and frameworks. Test type: Knowledge & Skills (K). Duration: 50 minutes.","javascript development. modern javascript including es6+, async programming, and frameworks. test type: knowledge & skills (k). duration: 50 minutes."
C++ Programming,https://www.shl.com/solutions/products/product-catalog/c++-programming/,"C++ assessment covering memory management, STL, and advanced concepts",Knowledge & Skills (K),Yes,Yes,60,"C++ Programming. C++ assessment covering memory management, STL, and advanced concepts. Test type: Knowledge & Skills (K). Duration: 60 minutes.","c++ programming. c++ assessment covering memory management, stl, and advanced concepts. test type: knowledge & skills (k). duration: 60 minutes."
SQL Database Skills,https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,"SQL querying, database design, optimization, and transaction management",Knowledge & Skills (K),Yes,Yes,40,"SQL Database Skills. SQL querying, database design, optimization, and transaction management. Test type: Knowledge & Skills (K). Duration: 40 minutes.","sql database skills. sql querying, database design, optimization, and transaction management. test type: knowledge & skills (k). duration: 40 minutes."
React Development,https://www.shl.com/solutions/products/product-catalog/react-development/,"React.js assessment including hooks, state management, and component design",Knowledge & Skills (K),Yes,Yes,45,"React Development. React.js assessment including hooks, state management, and component design. Test type: Knowledge & Skills (K). Duration: 45 minutes.","react development. react.js assessment including hooks, state management, and component design. test type: knowledge & skills (k). duration: 45 minutes."
Node.js Backend,https://www.shl.com/solutions/products/product-catalog/nodejs-backend/,"Node.js server-side development, Express, APIs, and async patterns",Knowledge & Skills (K),Yes,Yes,50,"Node.js Backend. Node.js server-side development, Express, APIs, and async patterns. Test type: Knowledge & Skills (K). Duration: 50 minutes.","node.js backend. node.js server-side development, express, apis, and async patterns. test type: knowledge & skills (k). duration: 50 minutes."
Angular Framework,https://www.shl.com/solutions/products/product-catalog/angular-framework/,"Angular framework assessment with TypeScript, RxJS, and architecture",Knowledge & Skills (K),Yes,Yes,45,"Angular Framework. Angular framework assessment with TypeScript, RxJS, and architecture. Test type: Knowledge & Skills (K). Duration: 45 minutes.","angular framework. angular framework assessment with typescript, rxjs, and architecture. test type: knowledge & skills (k). duration: 45 minutes."
.NET Development,https://www.shl.com/solutions/products/product-catalog/net-development/,"C# and .NET framework including ASP.NET, Entity Framework, and LINQ",Knowledge & Skills (K),Yes,Yes,55,".NET Development. C# and .NET framework including ASP.NET, Entity Framework, and LINQ. Test type: Knowledge & Skills (K). Duration: 55 minutes.",".net development. c# and .net framework including asp.net, entity framework, and linq. test type: knowledge & skills (k). duration: 55 minutes."
Data Structures & Algorithms,https://www.shl.com/solutions/products/product-catalog/data-structures-and-algorithms/,Fundamental and advanced data structures and algorithmic problem solving,Knowledge & Skills (K),Yes,Yes,60,Data Structures & Algorithms. Fundamental and advanced data structures and algorithmic problem solving. Test type: Knowledge & Skills (K). Duration: 60 minutes.,data structures & algorithms. fundamental and advanced data structures and algorithmic problem solving. test type: knowledge & skills (k). duration: 60 minutes.
System Design,https://www.shl.com/solutions/products/product-catalog/system-design/,"Scalable system architecture, distributed systems, and design patterns",Knowledge & Skills (K),Yes,Yes,90,"System Design. Scalable system architecture, distributed systems, and design patterns. Test type: Knowledge & Skills (K). Duration: 90 minutes.","system design. scalable system architecture, distributed systems, and design patterns. test type: knowledge & skills (k). duration: 90 minutes."
DevOps Practices,https://www.shl.com/solutions/products/product-catalog/devops-practices/,"CI/CD, containerization, orchestration, and infrastructure as code",Knowledge & Skills (K),Yes,Yes,50,"DevOps Practices. CI/CD, containerization, orchestration, and infrastructure as code. Test type: Knowledge & Skills (K). Duration: 50 minutes.","devops practices. ci/cd, containerization, orchestration, and infrastructure as code. test type: knowledge & skills (k). duration: 50 minutes."
Cloud Computing - AWS,https://www.shl.com/solutions/products/product-catalog/cloud-computing---aws/,"AWS services, architecture, security, and best practices",Knowledge & Skills (K),Yes,Yes,60,"Cloud Computing - AWS. AWS services, architecture, security, and best practices. Test type: Knowledge & Skills (K). Duration: 60 minutes.","cloud computing - aws. aws services, architecture, security, and best practices. test type: knowledge & skills (k). duration: 60 minutes."
Cloud Computing - Azure,https://www.shl.com/solutions/products/product-catalog/cloud-computing---azure/,"Microsoft Azure services, solutions, and cloud architecture",Knowledge & Skills (K),Yes,Yes,60,"Cloud Computing - Azure. Microsoft Azure services, solutions, and cloud architecture. Test type: Knowledge & Skills (K). Duration: 60 minutes.","cloud computing - azure. microsoft azure services, solutions, and cloud architecture. test type: knowledge & skills (k). duration: 60 minutes."
Cybersecurity Fundamentals,https://www.shl.com/solutions/products/product-catalog/cybersecurity-fundamentals/,"Security principles, threat analysis, encryption, and secure coding",Knowledge & Skills (K),Yes,Yes,55,"Cybersecurity Fundamentals. Security principles, threat analysis, encryption, and secure coding. Test type: Knowledge & Skills (K). Duration: 55 minutes.","cybersecurity fundamentals. security principles, threat analysis, encryption, and secure coding. test type: knowledge & skills (k). duration: 55 minutes."
Network Security,https://www.shl.com/solutions/products/product-catalog/network-security/,"Network protocols, firewalls, intrusion detection, and security assessment",Knowledge & Skills (K),Yes,Yes,50,"Network Security. Network protocols, firewalls, intrusion detection, and security assessment. Test type: Knowledge & Skills (K). Duration: 50 minutes.","network security. network protocols, firewalls, intrusion detection, and security assessment. test type: knowledge & skills (k). duration: 50 minutes."
Machine Learning,https://www.shl.com/solutions/products/product-catalog/machine-learning/,"ML algorithms, model training, evaluation, and practical applications",Knowledge & Skills (K),Yes,Yes,70,"Machine Learning. ML algorithms, model training, evaluation, and practical applications. Test type: Knowledge & Skills (K). Duration: 70 minutes.","machine learning. ml algorithms, model training, evaluation, and practical applications. test type: knowledge & skills (k). duration: 70 minutes."
Data Science,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,"Statistical analysis, data processing, visualization, and insights",Knowledge & Skills (K),Yes,Yes,65,"Data Science. Statistical analysis, data processing, visualization, and insights. Test type: Knowledge & Skills (K). Duration: 65 minutes.","data science. statistical analysis, data processing, visualization, and insights. test type: knowledge & skills (k). duration: 65 minutes."
Artificial Intelligence,https://www.shl.com/solutions/products/product-catalog/artificial-intelligence/,"AI concepts, neural networks, deep learning, and applications",Knowledge & Skills (K),Yes,Yes,75,"Artificial Intelligence. AI concepts, neural networks, deep learning, and applications. Test type: Knowledge & Skills (K). Duration: 75 minutes.","artificial intelligence. ai concepts, neural networks, deep learning, and applications. test type: knowledge & skills (k). duration: 75 minutes."
Big Data Technologies,https://www.shl.com/solutions/products/product-catalog/big-data-technologies/,"Hadoop, Spark, data pipelines, and distributed processing",Knowledge & Skills (K),Yes,Yes,60,"Big Data Technologies. Hadoop, Spark, data pipelines, and distributed processing. Test type: Knowledge & Skills (K). Duration: 60 minutes.","big data technologies. hadoop, spark, data pipelines, and distributed processing. test type: knowledge & skills (k). duration: 60 minutes."
Mobile Development - iOS,https://www.shl.com/solutions/products/product-catalog/mobile-development---ios/,"Swift, iOS frameworks, UI design, and app architecture",Knowledge & Skills (K),Yes,Yes,55,"Mobile Development - iOS. Swift, iOS frameworks, UI design, and app architecture. Test type: Knowledge & Skills (K). Duration: 55 minutes.","mobile development - ios. swift, ios frameworks, ui design, and app architecture. test type: knowledge & skills (k). duration: 55 minutes."
Mobile Development - Android,https://www.shl.com/solutions/products/product-catalog/mobile-development---android/,"Kotlin/Java, Android SDK, architecture components, and best practices",Knowledge & Skills (K),Yes,Yes,55,"Mobile Development - Android. Kotlin/Java, Android SDK, architecture components, and best practices. Test type: Knowledge & Skills (K). Duration: 55 minutes.","mobile development - android. kotlin/java, android sdk, architecture components, and best practices. test type: knowledge & skills (k). duration: 55 minutes."
Web Development Full Stack,https://www.shl.com/solutions/products/product-catalog/web-development-full-stack/,"End-to-end web development including frontend, backend, and databases",Knowledge & Skills (K),Yes,Yes,70,"Web Development Full Stack. End-to-end web development including frontend, backend, and databases. Test type: Knowledge & Skills (K). Duration: 70 minutes.","web development full stack. end-to-end web development including frontend, backend, and databases. test type: knowledge & skills (k). duration: 70 minutes."
API Development & Integration,https://www.shl.com/solutions/products/product-catalog/api-development-and-integration/,"RESTful APIs, GraphQL, authentication, and integration patterns",Knowledge & Skills (K),Yes,Yes,45,"API Development & Integration. RESTful APIs, GraphQL, authentication, and integration patterns. Test type: Knowledge & Skills (K). Duration: 45 minutes.","api development & integration. restful apis, graphql, authentication, and integration patterns. test type: knowledge & skills (k). duration: 45 minutes."
Microservices Architecture,https://www.shl.com/solutions/products/product-catalog/microservices-architecture/,"Microservices design, communication patterns, and distributed systems",Knowledge & Skills (K),Yes,Yes,60,"Microservices Architecture. Microservices design, communication patterns, and distributed systems. Test type: Knowledge & Skills (K). Duration: 60 minutes.","microservices architecture. microservices design, communication patterns, and distributed systems. test type: knowledge & skills (k). duration: 60 minutes."
Docker & Kubernetes,https://www.shl.com/solutions/products/product-catalog/docker-and-kubernetes/,"Containerization, orchestration, deployment, and management",Knowledge & Skills (K),Yes,Yes,50,"Docker & Kubernetes. Containerization, orchestration, deployment, and management. Test type: Knowledge & Skills (K). Duration: 50 minutes.","docker & kubernetes. containerization, orchestration, deployment, and management. test type: knowledge & skills (k). duration: 50 minutes."
